,Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
30,BDCQ.SF1AA2CS,2018.12,1565.4,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Forestry and Logging,Current prices,Seasonally adjusted,
31,BDCQ.SF1AA2CS,2019.03,1488.197,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Forestry and Logging,Current prices,Seasonally adjusted,
32,BDCQ.SF1AA2CS,2019.06,1442.266,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Forestry and Logging,Current prices,Seasonally adjusted,
33,BDCQ.SF1AA2CS,2019.09,1370.712,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Forestry and Logging,Current prices,Seasonally adjusted,
34,BDCQ.SF1AA2CS,2019.12,1366.193,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Forestry and Logging,Current prices,Seasonally adjusted,
35,BDCQ.SF1AA2CS,2020.03,1145.119,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Forestry and Logging,Current prices,Seasonally adjusted,
36,BDCQ.SF1AA2CS,2020.06,1075.566,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Forestry and Logging,Current prices,Seasonally adjusted,
37,BDCQ.SF1AA2CS,2020.09,1430.347,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Forestry and Logging,Current prices,Seasonally adjusted,
38,BDCQ.SF1AA2CS,2020.12,1485.206,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Forestry and Logging,Current prices,Seasonally adjusted,
39,BDCQ.SF1AA2CS,2021.03,1479.603,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Forestry and Logging,Current prices,Seasonally adjusted,
40,BDCQ.SF1AA2CT,2016.06,1025.652,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Forestry and Logging,Current prices,Trend,
41,BDCQ.SF1AA2CT,2016.09,1070.261,,R,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),Forestry and Logging,Current prices,Trend,
